"Zeit (s) Messreihe #1";"Position (m) Messreihe #1"
0,000;0,3342
0,050;0,3098
0,100;0,2869
0,150;0,2657
0,200;0,2465
0,250;0,2300
0,300;0,2160
0,350;0,2048
0,400;0,1965
0,450;0,1916
0,500;0,1900
0,550;0,1916
0,600;0,1965
0,650;0,2036
0,700;0,2113
0,750;0,2202
0,800;0,2293
0,850;0,2376
0,900;0,2447
0,950;0,2504
1,000;0,2554
1,050;0,2590
1,100;0,2614
1,150;0,2630
1,200;0,2640
1,250;0,2645
1,300;0,2640
1,350;0,2630
1,400;0,2620
1,450;0,2604
1,500;0,2579
1,550;0,2538
1,600;0,2485
1,650;0,2419
1,700;0,2340
1,750;0,2248
1,800;0,2148
1,850;0,2040
1,900;0,1929
1,950;0,1821
2,000;0,1718
2,050;0,1623
2,100;0,1533
2,150;0,1452
2,200;0,1377
2,250;0,1306
2,300;0,1240
2,350;0,1242
2,400;0,1228
2,450;0,1226
2,500;0,1237
2,550;0,1228
2,600;0,1231
2,650;0,1238
2,700;0,1226
2,750;0,1225
2,800;0,1237
2,850;0,1225
2,900;0,1235
2,950;0,1225
3,000;0,1238
3,050;0,1228
3,100;0,1226
3,150;0,1250
3,200;0,1269
3,250;0,1290
3,300;0,1307
3,350;0,1331
3,400;0,1359
3,450;0,1386
3,500;0,1410
3,550;0,1429
3,600;0,1440
3,650;0,1441
3,700;0,1440
3,750;0,1438
3,800;0,1436
3,850;0,1436
3,900;0,1438
3,950;0,1441
4,000;0,1445
4,050;0,1447
4,100;0,1448
4,150;0,1447
4,200;0,1445
4,250;0,1441
4,300;0,1435
4,350;0,1428
4,400;0,1424
4,450;0,1441
4,500;0,1490
4,550;0,1576
4,600;0,1698
4,650;0,1857
4,700;0,2053
4,750;0,2279
4,800;0,2530
4,850;0,2802
4,900;0,3097
4,950;0,3408
5,000;0,3724
5,050;0,4038
5,100;0,4351
5,150;0,4658
5,200;0,4957
5,250;0,5257
5,300;0,5517
5,350;0,5753
5,400;0,5983
5,450;0,6217
5,500;0,6326
5,550;0,6428
5,600;0,6460
5,650;0,6480
5,700;0,6498
5,750;0,6415
5,800;0,6351
5,850;0,6288
5,900;0,6070
5,950;0,5813
6,000;0,5579
6,050;0,5325
6,100;0,5043
6,150;0,4738
6,200;0,4432
6,250;0,4117
6,300;0,3801
6,350;0,3489
6,400;0,3182
6,450;0,2884
6,500;0,2603
6,550;0,2346
6,600;0,2118
6,650;0,1915
6,700;0,1744
6,750;0,1609
6,800;0,1516
6,850;0,1462
6,900;0,1443
6,950;0,1463
7,000;0,1526
7,050;0,1631
7,100;0,1770
7,150;0,1941
7,200;0,2145
7,250;0,2382
7,300;0,2646
7,350;0,2928
7,400;0,3224
7,450;0,3532
7,500;0,3849
7,550;0,4165
7,600;0,4474
7,650;0,4776
7,700;0,5085
7,750;0,5362
7,800;0,5614
7,850;0,5835
7,900;0,6051
7,950;0,6312
8,000;0,6358
8,050;0,6416
8,100;0,6495
8,150;0,6502
8,200;0,6446
8,250;0,6377
8,300;0,6301
8,350;0,6137
8,400;0,5931
8,450;0,5720
8,500;0,5482
8,550;0,5214
8,600;0,4914
8,650;0,4616
8,700;0,4311
8,750;0,3998
8,800;0,3681
8,850;0,3368
8,900;0,3067
8,950;0,2780
9,000;0,2508
9,050;0,2258
9,100;0,2039
9,150;0,1852
9,200;0,1699
9,250;0,1578
9,300;0,1495
9,350;0,1455
9,400;0,1457
9,450;0,1494
9,500;0,1569
9,550;0,1684
9,600;0,1838
9,650;0,2027
9,700;0,2241
9,750;0,2485
9,800;0,2754
9,850;0,3044
9,900;0,3346
9,950;0,3655
10,000;0,3969
10,050;0,4282
10,100;0,4591
10,150;0,4890
10,200;0,5188
10,250;0,5453
10,300;0,5696
10,350;0,5934
10,400;0,6146
10,450;0,6331
10,500;0,6389
10,550;0,6459
10,600;0,6494
10,650;0,6460
10,700;0,6438
10,750;0,6358
10,800;0,6241
10,850;0,6075
10,900;0,5845
10,950;0,5622
11,000;0,5377
11,050;0,5105
11,100;0,4799
11,150;0,4495
11,200;0,4189
11,250;0,3877
11,300;0,3563
11,350;0,3253
11,400;0,2955
11,450;0,2675
11,500;0,2415
11,550;0,2178
11,600;0,1968
11,650;0,1792
11,700;0,1654
11,750;0,1552
11,800;0,1485
11,850;0,1457
11,900;0,1472
11,950;0,1528
12,000;0,1619
12,050;0,1748
12,100;0,1910
12,150;0,2111
12,200;0,2341
12,250;0,2593
12,300;0,2866
12,350;0,3159
12,400;0,3466
12,450;0,3779
12,500;0,4091
12,550;0,4401
12,600;0,4703
12,650;0,4998
12,700;0,5292
12,750;0,5545
12,800;0,5773
12,850;0,6000
12,900;0,6232
12,950;0,6320
13,000;0,6389
13,050;0,6449
13,100;0,6466
13,150;0,6445
13,200;0,6401
13,250;0,6379
13,300;0,6217
13,350;0,5988
13,400;0,5760
13,450;0,5526
13,500;0,5269
13,550;0,4976
13,600;0,4683
13,650;0,4378
13,700;0,4067
13,750;0,3753
13,800;0,3444
13,850;0,3141
13,900;0,2849
13,950;0,2573
14,000;0,2323
14,050;0,2101
14,100;0,1906
14,150;0,1742
14,200;0,1614
14,250;0,1528
14,300;0,1479
14,350;0,1469
14,400;0,1494
14,450;0,1564
14,500;0,1672
14,550;0,1816
14,600;0,1991
14,650;0,2199
14,700;0,2439
14,750;0,2703
14,800;0,2984
14,850;0,3279
14,900;0,3587
14,950;0,3899
15,000;0,4212
15,050;0,4517
15,100;0,4816
15,150;0,5118
15,200;0,5390
15,250;0,5635
15,300;0,5851
15,350;0,6064
15,400;0,6282
15,450;0,6352
15,500;0,6411
15,550;0,6448
15,600;0,6450
15,650;0,6414
15,700;0,6363
15,750;0,6260
15,800;0,6089
15,850;0,5881
15,900;0,5667
15,950;0,5426
16,000;0,5159
16,050;0,4859
16,100;0,4563
16,150;0,4258
16,200;0,3948
16,250;0,3634
16,300;0,3325
16,350;0,3029
16,400;0,2746
16,450;0,2480
16,500;0,2237
16,550;0,2025
16,600;0,1845
16,650;0,1699
16,700;0,1585
16,750;0,1510
16,800;0,1477
16,850;0,1484
16,900;0,1527
16,950;0,1609
17,000;0,1729
17,050;0,1886
17,100;0,2077
17,150;0,2296
17,200;0,2542
17,250;0,2811
17,300;0,3101
17,350;0,3401
17,400;0,3708
17,450;0,4019
17,500;0,4330
17,550;0,4634
17,600;0,4926
17,650;0,5219
17,700;0,5479
17,750;0,5715
17,800;0,5944
17,850;0,6150
17,900;0,6313
17,950;0,6353
18,000;0,6416
18,050;0,6443
18,100;0,6456
18,150;0,6388
18,200;0,6296
18,250;0,6231
18,300;0,6016
18,350;0,5794
18,400;0,5569
18,450;0,5320
18,500;0,5034
18,550;0,4743
18,600;0,4442
18,650;0,4135
18,700;0,3827
18,750;0,3517
18,800;0,3212
18,850;0,2918
18,900;0,2644
18,950;0,2391
19,000;0,2159
19,050;0,1958
19,100;0,1788
19,150;0,1657
19,200;0,1562
19,250;0,1502
19,300;0,1482
19,350;0,1503
19,400;0,1563
19,450;0,1660
19,500;0,1792
19,550;0,1960
19,600;0,2163
19,650;0,2394
19,700;0,2650
19,750;0,2924
19,800;0,3216
19,850;0,3521
19,900;0,3830
19,950;0,4140
20,000;0,4445
20,050;0,4744
20,100;0,5033
20,150;0,5321
20,200;0,5569
20,250;0,5791
20,300;0,6006
20,350;0,6262
20,400;0,6309
20,450;0,6401
20,500;0,6426
20,550;0,6464
20,600;0,6412
20,650;0,6366
20,700;0,6415
20,750;0,6146
20,800;0,5935
20,850;0,5706
20,900;0,5471
