"Zeit (s) Messreihe #5";"Position (m) Messreihe #5"
0,000;0,5846
0,050;0,5846
0,100;0,5843
0,150;0,5839
0,200;0,5841
0,250;0,5839
0,300;0,5838
0,350;0,5833
0,400;0,5821
0,450;0,5815
0,500;0,5827
0,550;0,5826
0,600;0,5808
0,650;0,5826
0,700;0,5826
0,750;0,5828
0,800;0,5813
0,850;0,5831
0,900;0,5893
0,950;0,5847
1,000;0,5772
1,050;0,5671
1,100;0,5548
1,150;0,5409
1,200;0,5252
1,250;0,5062
1,300;0,4878
1,350;0,4689
1,400;0,4498
1,450;0,4308
1,500;0,4122
1,550;0,3943
1,600;0,3772
1,650;0,3615
1,700;0,3479
1,750;0,3359
1,800;0,3261
1,850;0,3185
1,900;0,3136
1,950;0,3115
2,000;0,3118
2,050;0,3145
2,100;0,3199
2,150;0,3283
2,200;0,3388
2,250;0,3513
2,300;0,3655
2,350;0,3816
2,400;0,3991
2,450;0,4175
2,500;0,4362
2,550;0,4553
2,600;0,4745
2,650;0,4934
2,700;0,5134
2,750;0,5302
2,800;0,5453
2,850;0,5590
2,900;0,5707
2,950;0,5801
3,000;0,5869
3,050;0,5914
3,100;0,5934
3,150;0,5928
3,200;0,5893
3,250;0,5832
3,300;0,5748
3,350;0,5644
3,400;0,5517
3,450;0,5368
3,500;0,5193
3,550;0,5016
3,600;0,4833
3,650;0,4644
3,700;0,4451
3,750;0,4260
3,800;0,4075
3,850;0,3898
3,900;0,3731
3,950;0,3575
4,000;0,3441
4,050;0,3327
4,100;0,3235
4,150;0,3164
4,200;0,3120
4,250;0,3106
4,300;0,3118
4,350;0,3153
4,400;0,3216
4,450;0,3304
4,500;0,3415
4,550;0,3547
4,600;0,3694
4,650;0,3859
4,700;0,4036
4,750;0,4221
4,800;0,4410
4,850;0,4601
4,900;0,4790
4,950;0,4977
5,000;0,5172
5,050;0,5336
5,100;0,5486
5,150;0,5616
5,200;0,5728
5,250;0,5817
5,300;0,5881
5,350;0,5920
5,400;0,5934
5,450;0,5922
5,500;0,5881
5,550;0,5815
5,600;0,5726
5,650;0,5617
5,700;0,5485
5,750;0,5332
5,800;0,5150
5,850;0,4973
5,900;0,4787
5,950;0,4598
6,000;0,4405
6,050;0,4215
6,100;0,4032
6,150;0,3858
6,200;0,3694
6,250;0,3544
6,300;0,3415
6,350;0,3307
6,400;0,3221
6,450;0,3159
6,500;0,3122
6,550;0,3113
6,600;0,3131
6,650;0,3174
6,700;0,3239
6,750;0,3331
6,800;0,3446
6,850;0,3583
6,900;0,3734
6,950;0,3899
7,000;0,4075
7,050;0,4263
7,100;0,4453
7,150;0,4642
7,200;0,4830
7,250;0,5014
7,300;0,5198
7,350;0,5367
7,400;0,5512
7,450;0,5640
7,500;0,5745
7,550;0,5829
7,600;0,5887
7,650;0,5918
7,700;0,5926
7,750;0,5908
7,800;0,5863
7,850;0,5789
7,900;0,5695
7,950;0,5581
8,000;0,5447
8,050;0,5293
8,100;0,5107
8,150;0,4928
8,200;0,4744
8,250;0,4554
8,300;0,4365
8,350;0,4177
8,400;0,3996
8,450;0,3825
8,500;0,3667
8,550;0,3522
8,600;0,3397
8,650;0,3294
8,700;0,3214
8,750;0,3157
8,800;0,3125
8,850;0,3121
8,900;0,3145
8,950;0,3194
9,000;0,3266
9,050;0,3364
9,100;0,3484
9,150;0,3622
9,200;0,3779
9,250;0,3947
9,300;0,4124
9,350;0,4311
9,400;0,4500
9,450;0,4687
9,500;0,4873
9,550;0,5053
9,600;0,5240
9,650;0,5396
9,700;0,5536
9,750;0,5656
9,800;0,5756
