"Zeit (s) Messreihe #2";"Position (m) Messreihe #2"
0,000;0,2513
0,050;0,2511
0,100;0,2542
0,150;0,2544
0,200;0,2544
0,250;0,2568
0,300;0,2564
0,350;0,2566
0,400;0,2573
0,450;0,2597
0,500;0,2599
0,550;0,2599
0,600;0,2605
0,650;0,2630
0,700;0,2638
0,750;0,2588
0,800;0,2497
0,850;0,2538
0,900;0,2843
0,950;0,2943
1,000;0,3061
1,050;0,3204
1,100;0,3333
1,150;0,3551
1,200;0,3747
1,250;0,3954
1,300;0,4171
1,350;0,4394
1,400;0,4617
1,450;0,4839
1,500;0,5055
1,550;0,5285
1,600;0,5481
1,650;0,5662
1,700;0,5823
1,750;0,5964
1,800;0,6085
1,850;0,6201
1,900;0,6299
1,950;0,6337
2,000;0,6320
2,050;0,6297
2,100;0,6253
2,150;0,6178
2,200;0,6052
2,250;0,5925
2,300;0,5780
2,350;0,5613
2,400;0,5429
2,450;0,5231
2,500;0,5000
2,550;0,4781
2,600;0,4560
2,650;0,4338
2,700;0,4118
2,750;0,3904
2,800;0,3700
2,850;0,3509
2,900;0,3335
2,950;0,3176
3,000;0,3039
3,050;0,2929
3,100;0,2844
3,150;0,2787
3,200;0,2754
3,250;0,2750
3,300;0,2777
3,350;0,2833
3,400;0,2914
3,450;0,3020
3,500;0,3148
3,550;0,3302
3,600;0,3477
3,650;0,3664
3,700;0,3865
3,750;0,4076
3,800;0,4294
3,850;0,4516
3,900;0,4736
3,950;0,4953
4,000;0,5164
4,050;0,5381
4,100;0,5569
4,150;0,5738
4,200;0,5885
4,250;0,6013
4,300;0,6123
4,350;0,6223
4,400;0,6274
4,450;0,6292
4,500;0,6288
4,550;0,6258
4,600;0,6196
4,650;0,6084
4,700;0,5970
4,750;0,5834
4,800;0,5680
4,850;0,5507
4,900;0,5315
4,950;0,5092
5,000;0,4881
5,050;0,4664
5,100;0,4445
5,150;0,4224
5,200;0,4009
5,250;0,3804
5,300;0,3609
5,350;0,3428
5,400;0,3262
5,450;0,3117
5,500;0,2996
5,550;0,2899
5,600;0,2828
5,650;0,2783
5,700;0,2767
5,750;0,2781
5,800;0,2821
5,850;0,2888
5,900;0,2982
5,950;0,3099
6,000;0,3241
6,050;0,3404
6,100;0,3582
6,150;0,3774
6,200;0,3979
6,250;0,4191
6,300;0,4410
6,350;0,4628
6,400;0,4844
6,450;0,5057
6,500;0,5280
6,550;0,5471
6,600;0,5647
6,650;0,5802
6,700;0,5939
6,750;0,6054
6,800;0,6167
6,850;0,6234
6,900;0,6267
6,950;0,6277
7,000;0,6257
7,050;0,6214
7,100;0,6120
7,150;0,6016
7,200;0,5891
7,250;0,5747
7,300;0,5584
7,350;0,5402
7,400;0,5189
7,450;0,4982
7,500;0,4769
7,550;0,4552
7,600;0,4335
7,650;0,4118
7,700;0,3909
7,750;0,3711
7,800;0,3524
7,850;0,3352
7,900;0,3196
7,950;0,3065
8,000;0,2958
8,050;0,2875
8,100;0,2816
8,150;0,2786
8,200;0,2784
8,250;0,2811
8,300;0,2866
8,350;0,2945
8,400;0,3047
8,450;0,3177
8,500;0,3330
8,550;0,3498
