"Zeit (s) Messreihe #1";"Position (m) Messreihe #1"
0,000;0,2357
0,050;0,2283
0,100;0,2248
0,150;0,2242
0,200;0,2144
0,250;0,2085
0,300;0,2057
0,350;0,2028
0,400;0,2015
0,450;0,1982
0,500;0,1964
0,550;0,1954
0,600;0,1947
0,650;0,1942
0,700;0,1937
0,750;0,1929
0,800;0,1894
0,850;0,1882
0,900;0,1872
0,950;0,1858
1,000;0,1846
1,050;0,1835
1,100;0,1823
1,150;0,1808
1,200;0,1808
1,250;0,1804
1,300;0,1801
1,350;0,1799
1,400;0,1803
1,450;0,1804
1,500;0,1806
1,550;0,1806
1,600;0,1809
1,650;0,1811
1,700;0,1811
1,750;0,1811
1,800;0,1811
1,850;0,1811
1,900;0,1813
1,950;0,1813
2,000;0,1813
2,050;0,1815
2,100;0,1816
2,150;0,1818
2,200;0,1820
2,250;0,1827
2,300;0,1830
2,350;0,1832
2,400;0,1842
2,450;0,1850
2,500;0,1876
2,550;0,1904
2,600;0,1938
2,650;0,1957
2,700;0,2011
2,750;0,3722
2,800;0,4065
2,850;0,4348
2,900;0,4633
2,950;0,4914
3,000;0,5211
3,050;0,5474
3,100;0,5720
3,150;0,5947
3,200;0,6170
3,250;0,6409
3,300;0,6547
3,350;0,6608
3,400;0,6658
3,450;0,6701
3,500;0,6706
3,550;0,6673
3,600;0,6591
3,650;0,6516
3,700;0,6355
3,750;0,6145
3,800;0,5921
3,850;0,5694
3,900;0,5449
3,950;0,5173
4,000;0,4898
4,050;0,4620
4,100;0,4343
4,150;0,4069
4,200;0,3802
4,250;0,3546
4,300;0,3307
4,350;0,3089
4,400;0,2898
4,450;0,2733
4,500;0,2602
4,550;0,2504
4,600;0,2441
4,650;0,2415
4,700;0,2426
4,750;0,2472
4,800;0,2554
4,850;0,2672
4,900;0,2820
4,950;0,2998
5,000;0,3198
5,050;0,3423
5,100;0,3667
5,150;0,3922
5,200;0,4185
5,250;0,4453
5,300;0,4721
5,350;0,4985
5,400;0,5259
5,450;0,5500
5,500;0,5723
5,550;0,5925
5,600;0,6128
5,650;0,6336
5,700;0,6490
5,750;0,6571
5,800;0,6549
5,850;0,6570
5,900;0,6524
5,950;0,6576
6,000;0,6465
6,050;0,6290
6,100;0,6139
6,150;0,5941
6,200;0,5742
6,250;0,5525
6,300;0,5294
6,350;0,5033
6,400;0,4778
6,450;0,4523
6,500;0,4268
6,550;0,4022
6,600;0,3782
6,650;0,3554
6,700;0,3344
6,750;0,3157
6,800;0,2997
6,850;0,2862
6,900;0,2755
6,950;0,2679
7,000;0,2639
7,050;0,2630
7,100;0,2651
7,150;0,2704
7,200;0,2790
7,250;0,2906
7,300;0,3050
7,350;0,3215
7,400;0,3403
7,450;0,3609
7,500;0,3830
7,550;0,4061
7,600;0,4296
7,650;0,4533
7,700;0,4767
7,750;0,4998
7,800;0,5238
7,850;0,5443
7,900;0,5633
7,950;0,5800
8,000;0,5947
8,050;0,6071
8,100;0,6181
8,150;0,6248
8,200;0,6309
8,250;0,6307
8,300;0,6256
8,350;0,6198
8,400;0,6091
8,450;0,5978
8,500;0,5843
8,550;0,5687
8,600;0,5514
8,650;0,5325
8,700;0,5103
8,750;0,4891
8,800;0,4674
8,850;0,4459
8,900;0,4245
8,950;0,4036
9,000;0,3840
9,050;0,3655
9,100;0,3486
9,150;0,3336
9,200;0,3208
9,250;0,3103
9,300;0,3026
9,350;0,2974
9,400;0,2948
9,450;0,2951
9,500;0,2981
9,550;0,3040
9,600;0,3120
9,650;0,3224
9,700;0,3349
9,750;0,3495
9,800;0,3655
9,850;0,3828
9,900;0,4008
9,950;0,4197
10,000;0,4388
10,050;0,4581
10,100;0,4766
10,150;0,4949
10,200;0,5122
10,250;0,5298
10,300;0,5447
10,350;0,5573
10,400;0,5680
10,450;0,5767
10,500;0,5833
10,550;0,5873
10,600;0,5890
10,650;0,5883
10,700;0,5855
10,750;0,5804
10,800;0,5729
10,850;0,5635
10,900;0,5525
10,950;0,5400
11,000;0,5260
11,050;0,5089
11,100;0,4927
11,150;0,4764
11,200;0,4600
11,250;0,4437
11,300;0,4275
11,350;0,4121
11,400;0,3976
11,450;0,3842
11,500;0,3721
11,550;0,3616
11,600;0,3527
11,650;0,3456
11,700;0,3406
11,750;0,3375
11,800;0,3364
11,850;0,3372
11,900;0,3401
11,950;0,3449
12,000;0,3512
12,050;0,3593
12,100;0,3687
12,150;0,3795
12,200;0,3912
12,250;0,4037
12,300;0,4168
12,350;0,4302
12,400;0,4438
12,450;0,4572
12,500;0,4702
12,550;0,4828
12,600;0,4947
12,650;0,5055
12,700;0,5170
12,750;0,5254
12,800;0,5322
12,850;0,5376
12,900;0,5412
12,950;0,5437
13,000;0,5442
13,050;0,5433
13,100;0,5407
13,150;0,5368
13,200;0,5317
13,250;0,5254
13,300;0,5161
13,350;0,5075
13,400;0,4982
13,450;0,4884
13,500;0,4784
13,550;0,4681
13,600;0,4576
13,650;0,4475
13,700;0,4376
13,750;0,4283
13,800;0,4195
13,850;0,4114
13,900;0,4043
13,950;0,3983
14,000;0,3933
14,050;0,3893
14,100;0,3863
14,150;0,3848
14,200;0,3844
14,250;0,3852
14,300;0,3869
14,350;0,3897
14,400;0,3934
14,450;0,3982
14,500;0,4034
14,550;0,4090
14,600;0,4156
14,650;0,4223
14,700;0,4293
14,750;0,4362
14,800;0,4431
14,850;0,4501
