"Zeit (s) Messreihe #1";"Position (m) Messreihe #1"
0,000;0,5532
0,050;0,5402
0,100;0,5247
0,150;0,5099
0,200;0,4944
0,250;0,4791
0,300;0,4641
0,350;0,4498
0,400;0,4362
0,450;0,4236
0,500;0,4123
0,550;0,4032
0,600;0,3957
0,650;0,3900
0,700;0,3863
0,750;0,3852
0,800;0,3868
0,850;0,3901
0,900;0,3954
0,950;0,4029
1,000;0,4125
1,050;0,4237
1,100;0,4360
1,150;0,4496
1,200;0,4640
1,250;0,4791
1,300;0,4942
1,350;0,5092
1,400;0,5238
1,450;0,5397
1,500;0,5526
1,550;0,5638
1,600;0,5734
1,650;0,5813
1,700;0,5876
1,750;0,5916
1,800;0,5933
1,850;0,5926
1,900;0,5899
1,950;0,5854
2,000;0,5784
2,050;0,5695
2,100;0,5592
2,150;0,5470
2,200;0,5340
2,250;0,5180
2,300;0,5032
2,350;0,4882
2,400;0,4734
2,450;0,4589
2,500;0,4448
2,550;0,4318
2,600;0,4203
2,650;0,4101
2,700;0,4016
2,750;0,3948
2,800;0,3905
2,850;0,3884
2,900;0,3883
2,950;0,3902
3,000;0,3944
3,050;0,4009
3,100;0,4091
3,150;0,4191
3,200;0,4304
3,250;0,4431
3,300;0,4570
3,350;0,4714
3,400;0,4858
3,450;0,5006
3,500;0,5154
3,550;0,5313
3,600;0,5442
3,650;0,5561
3,700;0,5663
3,750;0,5751
3,800;0,5821
3,850;0,5868
3,900;0,5894
3,950;0,5902
4,000;0,5889
4,050;0,5850
4,100;0,5790
4,150;0,5715
4,200;0,5623
4,250;0,5513
4,300;0,5390
4,350;0,5237
4,400;0,5095
4,450;0,4953
4,500;0,4806
4,550;0,4662
4,600;0,4522
4,650;0,4392
4,700;0,4275
4,750;0,4168
4,800;0,4078
4,850;0,4007
4,900;0,3955
4,950;0,3924
5,000;0,3913
5,050;0,3923
5,100;0,3956
5,150;0,4011
5,200;0,4083
5,250;0,4170
5,300;0,4276
5,350;0,4396
5,400;0,4527
5,450;0,4662
5,500;0,4805
5,550;0,4949
5,600;0,5094
5,650;0,5233
5,700;0,5380
5,750;0,5499
5,800;0,5608
5,850;0,5699
5,900;0,5771
5,950;0,5824
6,000;0,5861
6,050;0,5876
6,100;0,5868
6,150;0,5838
6,200;0,5788
6,250;0,5720
6,300;0,5635
6,350;0,5534
6,400;0,5415
6,450;0,5285
6,500;0,5137
6,550;0,4996
6,600;0,4853
6,650;0,4710
6,700;0,4573
6,750;0,4444
6,800;0,4323
6,850;0,4215
6,900;0,4121
6,950;0,4047
7,000;0,3990
7,050;0,3950
7,100;0,3932
7,150;0,3938
7,200;0,3965
7,250;0,4011
7,300;0,4076
7,350;0,4160
7,400;0,4261
7,450;0,4376
7,500;0,4499
7,550;0,4632
7,600;0,4773
7,650;0,4913
7,700;0,5056
7,750;0,5193
7,800;0,5344
7,850;0,5464
7,900;0,5577
7,950;0,5668
8,000;0,5746
8,050;0,5807
8,100;0,5847
8,150;0,5865
8,200;0,5863
8,250;0,5839
8,300;0,5797
8,350;0,5736
8,400;0,5653
8,450;0,5557
8,500;0,5446
8,550;0,5325
