"Zeit (s) Messreihe #2";"Position (m) Messreihe #2"
0,000;0,5764
0,050;0,5755
0,100;0,5752
0,150;0,5751
0,200;0,5771
0,250;0,5767
0,300;0,5731
0,350;0,5726
0,400;0,5680
0,450;0,5666
0,500;0,5651
0,550;0,5630
0,600;0,5617
0,650;0,5630
0,700;0,5682
0,750;0,5759
0,800;0,5807
0,850;0,5839
0,900;0,5860
0,950;0,5847
1,000;0,5863
1,050;0,5870
1,100;0,5875
1,150;0,5884
1,200;0,5887
1,250;0,5894
1,300;0,5893
1,350;0,5890
1,400;0,5882
1,450;0,5901
1,500;0,5910
1,550;0,5920
1,600;0,5986
1,650;0,5931
1,700;0,5920
1,750;0,5924
1,800;0,5918
1,850;0,5893
1,900;0,5888
1,950;0,5884
2,000;0,5887
2,050;0,5910
2,100;0,5913
2,150;0,5920
2,200;0,5921
2,250;0,5900
2,300;0,5898
2,350;0,5900
2,400;0,5900
2,450;0,5901
2,500;0,5901
2,550;0,5901
2,600;0,5901
2,650;0,5901
2,700;0,5901
2,750;0,5903
2,800;0,5905
2,850;0,5905
2,900;0,5906
2,950;0,5906
3,000;0,5908
3,050;0,5910
3,100;0,5910
3,150;0,5910
3,200;0,5910
3,250;0,5908
3,300;0,5908
3,350;0,5905
3,400;0,5900
3,450;0,5896
3,500;0,5895
3,550;0,5891
3,600;0,5889
3,650;0,5886
3,700;0,5884
3,750;0,5882
3,800;0,5881
3,850;0,5879
3,900;0,5879
3,950;0,5879
4,000;0,5881
4,050;0,5882
4,100;0,5886
4,150;0,5889
4,200;0,5893
4,250;0,5898
4,300;0,5903
4,350;0,5908
4,400;0,5915
4,450;0,5920
4,500;0,5927
4,550;0,5934
4,600;0,5941
4,650;0,5946
4,700;0,5951
4,750;0,5949
4,800;0,5950
4,850;0,5948
4,900;0,5944
4,950;0,5939
5,000;0,5934
5,050;0,5927
5,100;0,5922
5,150;0,5917
5,200;0,5913
5,250;0,5912
5,300;0,5912
5,350;0,5915
5,400;0,5918
5,450;0,5920
5,500;0,5922
5,550;0,5924
5,600;0,5924
5,650;0,5924
5,700;0,5924
5,750;0,5924
5,800;0,5924
5,850;0,5925
5,900;0,5925
5,950;0,5927
6,000;0,5929
6,050;0,5931
6,100;0,5931
6,150;0,5931
6,200;0,5929
6,250;0,5929
6,300;0,5929
6,350;0,5929
6,400;0,5929
6,450;0,5927
6,500;0,5925
6,550;0,5925
6,600;0,5924
6,650;0,5920
6,700;0,5917
6,750;0,5913
6,800;0,5912
6,850;0,5910
6,900;0,5907
6,950;0,5905
7,000;0,5905
7,050;0,5906
7,100;0,5908
7,150;0,5908
7,200;0,5912
7,250;0,5915
7,300;0,5917
7,350;0,5922
7,400;0,5922
7,450;0,5925
7,500;0,5937
7,550;0,5941
7,600;0,5941
7,650;0,5941
7,700;0,5941
7,750;0,5944
7,800;0,5950
7,850;0,5929
7,900;0,5932
7,950;0,5896
8,000;0,5845
8,050;0,5774
8,100;0,5683
8,150;0,5573
8,200;0,5450
8,250;0,5316
8,300;0,5154
8,350;0,5003
8,400;0,4850
8,450;0,4698
8,500;0,4553
8,550;0,4415
8,600;0,4284
8,650;0,4165
8,700;0,4066
8,750;0,3985
8,800;0,3923
8,850;0,3876
8,900;0,3854
8,950;0,3859
9,000;0,3886
9,050;0,3930
9,100;0,3997
9,150;0,4084
9,200;0,4190
9,250;0,4310
9,300;0,4443
9,350;0,4581
9,400;0,4733
9,450;0,4886
9,500;0,5039
9,550;0,5188
9,600;0,5352
9,650;0,5486
9,700;0,5606
9,750;0,5709
9,800;0,5798
9,850;0,5867
9,900;0,5918
9,950;0,5944
10,000;0,5947
10,050;0,5928
10,100;0,5891
10,150;0,5830
10,200;0,5748
10,250;0,5649
10,300;0,5536
10,350;0,5406
10,400;0,5251
10,450;0,5099
10,500;0,4948
10,550;0,4796
10,600;0,4648
10,650;0,4501
10,700;0,4365
10,750;0,4241
10,800;0,4130
10,850;0,4035
10,900;0,3959
10,950;0,3902
11,000;0,3870
11,050;0,3859
11,100;0,3869
11,150;0,3901
11,200;0,3958
11,250;0,4035
11,300;0,4127
11,350;0,4237
11,400;0,4360
11,450;0,4497
11,500;0,4642
11,550;0,4789
11,600;0,4939
11,650;0,5090
11,700;0,5257
11,750;0,5395
11,800;0,5523
11,850;0,5635
11,900;0,5734
11,950;0,5815
12,000;0,5874
12,050;0,5913
12,100;0,5931
12,150;0,5928
12,200;0,5903
12,250;0,5854
12,300;0,5784
12,350;0,5698
12,400;0,5597
12,450;0,5476
12,500;0,5328
12,550;0,5185
12,600;0,5039
12,650;0,4891
12,700;0,4741
12,750;0,4594
12,800;0,4456
12,850;0,4329
12,900;0,4211
12,950;0,4108
13,000;0,4023
13,050;0,3959
13,100;0,3915
13,150;0,3891
13,200;0,3887
13,250;0,3907
13,300;0,3951
13,350;0,4016
13,400;0,4095
13,450;0,4192
13,500;0,4307
13,550;0,4434
13,600;0,4570
13,650;0,4711
13,700;0,4857
13,750;0,5004
13,800;0,5152
13,850;0,5306
13,900;0,5437
13,950;0,5556
