"Zeit (s) Messreihe #1";"Position (m) Messreihe #1"
0,000;0,2616
0,050;0,2620
0,100;0,2623
0,150;0,2626
0,200;0,2635
0,250;0,2666
0,300;0,2671
0,350;0,2709
0,400;0,2738
0,450;0,2746
0,500;0,2774
0,550;0,2813
0,600;0,2847
0,650;0,2830
0,700;0,2872
0,750;0,2885
0,800;0,3068
0,850;0,3199
0,900;0,3376
0,950;0,3556
1,000;0,3757
1,050;0,3975
1,100;0,4203
1,150;0,4447
1,200;0,4699
1,250;0,4953
1,300;0,5205
1,350;0,5474
1,400;0,5712
1,450;0,5937
1,500;0,6149
1,550;0,6356
1,600;0,6519
1,650;0,6933
1,700;0,6794
1,750;0,6870
1,800;0,6943
1,850;0,6964
1,900;0,6920
1,950;0,6868
2,000;0,6812
2,050;0,6891
2,100;0,6524
2,150;0,6355
2,200;0,6145
2,250;0,5933
2,300;0,5710
2,350;0,5473
2,400;0,5207
2,450;0,4954
2,500;0,4701
2,550;0,4449
2,600;0,4209
2,650;0,3980
2,700;0,3764
2,750;0,3562
2,800;0,3384
2,850;0,3234
2,900;0,3111
2,950;0,3016
3,000;0,2950
3,050;0,2917
3,100;0,2918
3,150;0,2952
3,200;0,3015
3,250;0,3109
3,300;0,3232
3,350;0,3387
3,400;0,3563
3,450;0,3759
3,500;0,3973
3,550;0,4201
3,600;0,4442
3,650;0,4687
3,700;0,4936
3,750;0,5183
3,800;0,5448
3,850;0,5682
3,900;0,5903
3,950;0,6106
4,000;0,6313
4,050;0,6473
4,100;0,6842
4,150;0,6806
4,200;0,6883
4,250;0,6932
4,300;0,6919
4,350;0,6883
4,400;0,6853
4,450;0,6984
4,500;0,6762
4,550;0,6524
4,600;0,6339
4,650;0,6134
4,700;0,5929
4,750;0,5713
4,800;0,5486
4,850;0,5229
4,900;0,4983
4,950;0,4737
5,000;0,4495
5,050;0,4262
5,100;0,4040
5,150;0,3830
5,200;0,3635
5,250;0,3462
5,300;0,3315
5,350;0,3192
5,400;0,3095
5,450;0,3028
5,500;0,2993
5,550;0,2991
5,600;0,3018
5,650;0,3072
5,700;0,3156
5,750;0,3270
5,800;0,3413
5,850;0,3576
5,900;0,3757
5,950;0,3960
6,000;0,4176
6,050;0,4404
6,100;0,4636
6,150;0,4873
6,200;0,5109
6,250;0,5368
6,300;0,5593
6,350;0,5805
6,400;0,6003
6,450;0,6189
6,500;0,6373
6,550;0,6624
6,600;0,7084
6,650;0,7003
6,700;0,6987
6,750;0,6836
6,800;0,6824
6,850;0,6935
6,900;0,6909
6,950;0,6657
7,000;0,6505
7,050;0,6331
7,100;0,6142
7,150;0,5956
7,200;0,5759
7,250;0,5544
7,300;0,5305
7,350;0,5071
7,400;0,4838
7,450;0,4609
7,500;0,4383
7,550;0,4164
7,600;0,3957
7,650;0,3765
7,700;0,3593
7,750;0,3439
7,800;0,3310
7,850;0,3204
7,900;0,3128
7,950;0,3081
8,000;0,3061
8,050;0,3071
8,100;0,3110
8,150;0,3178
8,200;0,3276
8,250;0,3398
8,300;0,3542
8,350;0,3706
8,400;0,3891
8,450;0,4092
8,500;0,4303
8,550;0,4523
8,600;0,4749
8,650;0,4978
8,700;0,5208
8,750;0,5453
8,800;0,5663
8,850;0,5862
8,900;0,6048
8,950;0,6220
9,000;0,6390
9,050;0,6517
9,100;0,6665
9,150;0,6908
9,200;0,6809
9,250;0,6818
9,300;0,6947
9,350;0,6908
9,400;0,6777
9,450;0,6551
9,500;0,6389
9,550;0,6219
9,600;0,6051
9,650;0,5867
9,700;0,5668
9,750;0,5455
9,800;0,5210
9,850;0,4982
9,900;0,4757
9,950;0,4531
10,000;0,4309
10,050;0,4097
10,100;0,3900
10,150;0,3717
10,200;0,3551
10,250;0,3405
10,300;0,3284
10,350;0,3190
10,400;0,3123
10,450;0,3082
10,500;0,3070
10,550;0,3088
10,600;0,3136
10,650;0,3213
10,700;0,3314
10,750;0,3440
10,800;0,3593
10,850;0,3768
10,900;0,3958
10,950;0,4161
11,000;0,4377
11,050;0,4602
11,100;0,4832
11,150;0,5064
11,200;0,5292
11,250;0,5533
11,300;0,5745
11,350;0,5945
11,400;0,6129
11,450;0,6305
11,500;0,6457
11,550;0,6633
11,600;0,6888
11,650;0,6912
11,700;0,6982
11,750;0,6965
11,800;0,6859
11,850;0,6906
11,900;0,6812
11,950;0,6527
12,000;0,6362
12,050;0,6181
12,100;0,6001
12,150;0,5803
12,200;0,5594
12,250;0,5373
12,300;0,5119
12,350;0,4883
12,400;0,4647
12,450;0,4414
12,500;0,4192
12,550;0,3978
12,600;0,3779
12,650;0,3596
12,700;0,3432
12,750;0,3294
12,800;0,3184
12,850;0,3099
12,900;0,3041
12,950;0,3015
13,000;0,3020
13,050;0,3055
13,100;0,3120
13,150;0,3212
13,200;0,3332
13,250;0,3480
13,300;0,3651
13,350;0,3840
13,400;0,4044
13,450;0,4263
13,500;0,4495
13,550;0,4732
13,600;0,4972
13,650;0,5211
13,700;0,5468
13,750;0,5693
13,800;0,5907
13,850;0,6102
13,900;0,6301
13,950;0,6459
14,000;0,6924
14,050;0,6851
14,100;0,6894
14,150;0,6937
14,200;0,6890
14,250;0,6863
14,300;0,6843
14,350;0,6922
14,400;0,6646
14,450;0,6458
14,500;0,6296
14,550;0,6089
14,600;0,5888
14,650;0,5673
14,700;0,5445
14,750;0,5188
14,800;0,4943
14,850;0,4699
14,900;0,4457
14,950;0,4225
15,000;0,4000
15,050;0,3790
15,100;0,3595
15,150;0,3422
15,200;0,3275
15,250;0,3153
15,300;0,3058
15,350;0,2993
15,400;0,2962
15,450;0,2961
15,500;0,2993
15,550;0,3055
15,600;0,3147
15,650;0,3269
15,700;0,3418
15,750;0,3589
15,800;0,3783
15,850;0,3994
15,900;0,4219
15,950;0,4454
16,000;0,4697
16,050;0,4943
16,100;0,5190
16,150;0,5456
16,200;0,5683
16,250;0,5901
16,300;0,6104
16,350;0,6310
16,400;0,6470
16,450;0,6808
16,500;0,6808
16,550;0,6853
16,600;0,6892
16,650;0,6882
16,700;0,6867
16,750;0,6845
16,800;0,6911
16,850;0,6746
16,900;0,6513
16,950;0,6307
17,000;0,6117
17,050;0,5912
17,100;0,5696
17,150;0,5464
17,200;0,5205
17,250;0,4957
17,300;0,4711
17,350;0,4468
17,400;0,4233
17,450;0,4007
17,500;0,3795
17,550;0,3600
17,600;0,3429
17,650;0,3281
17,700;0,3158
17,750;0,3063
17,800;0,3000
17,850;0,2969
17,900;0,2968
17,950;0,2997
18,000;0,3058
18,050;0,3149
18,100;0,3270
18,150;0,3418
18,200;0,3587
18,250;0,3778
18,300;0,3989
18,350;0,4212
18,400;0,4445
18,450;0,4684
18,500;0,4928
18,550;0,5171
18,600;0,5430
18,650;0,5660
18,700;0,5874
18,750;0,6075
18,800;0,6266
18,850;0,6443
18,900;0,6639
18,950;0,6880
19,000;0,6845
19,050;0,6858
19,100;0,6845
19,150;0,6871
19,200;0,6881
19,250;0,6912
19,300;0,6757
19,350;0,6467
19,400;0,6301
19,450;0,6104
19,500;0,5909
19,550;0,5697
19,600;0,5476
19,650;0,5221
19,700;0,4981
19,750;0,4742
19,800;0,4506
19,850;0,4276
19,900;0,4057
19,950;0,3850
20,000;0,3662
20,050;0,3493
20,100;0,3346
20,150;0,3223
20,200;0,3130
20,250;0,3066
20,300;0,3031
20,350;0,3027
20,400;0,3052
20,450;0,3108
20,500;0,3194
20,550;0,3305
20,600;0,3444
20,650;0,3603
20,700;0,3785
20,750;0,3984
20,800;0,4195
20,850;0,4416
20,900;0,4645
20,950;0,4876
21,000;0,5111
21,050;0,5361
21,100;0,5583
21,150;0,5790
21,200;0,5984
21,250;0,6165
21,300;0,6345
21,350;0,6484
21,400;0,6673
21,450;0,6912
21,500;0,6842
21,550;0,6832
21,600;0,6961
21,650;0,6963
21,700;0,6875
21,750;0,6652
21,800;0,6442
21,850;0,6283
21,900;0,6111
21,950;0,5929
22,000;0,5733
22,050;0,5522
22,100;0,5284
22,150;0,5057
22,200;0,4829
22,250;0,4603
22,300;0,4381
22,350;0,4167
22,400;0,3967
22,450;0,3781
22,500;0,3612
22,550;0,3463
22,600;0,3337
22,650;0,3238
22,700;0,3166
22,750;0,3119
22,800;0,3101
22,850;0,3112
22,900;0,3153
22,950;0,3222
23,000;0,3316
23,050;0,3435
23,100;0,3579
23,150;0,3742
23,200;0,3926
23,250;0,4121
23,300;0,4329
23,350;0,4545
23,400;0,4767
23,450;0,4990
23,500;0,5213
23,550;0,5451
23,600;0,5658
23,650;0,5852
23,700;0,6033
23,750;0,6196
23,800;0,6361
23,850;0,6484
23,900;0,6666
23,950;0,6863
24,000;0,6900
24,050;0,6915
24,100;0,6897
24,150;0,6863
24,200;0,6628
24,250;0,6469
24,300;0,6334
24,350;0,6174
24,400;0,6009
24,450;0,5827
24,500;0,5633
24,550;0,5424
24,600;0,5187
24,650;0,4965
24,700;0,4745
24,750;0,4524
24,800;0,4310
24,850;0,4105
24,900;0,3914
24,950;0,3736
25,000;0,3575
25,050;0,3437
25,100;0,3321
25,150;0,3231
25,200;0,3167
25,250;0,3131
25,300;0,3123
25,350;0,3145
25,400;0,3193
25,450;0,3268
25,500;0,3369
25,550;0,3495
25,600;0,3645
25,650;0,3813
25,700;0,3998
25,750;0,4195
25,800;0,4406
25,850;0,4624
25,900;0,4846
25,950;0,5069
26,000;0,5292
26,050;0,5527
26,100;0,5730
26,150;0,5921
26,200;0,6097
26,250;0,6257
26,300;0,6415
26,350;0,6558
26,400;0,6746
26,450;0,6872
26,500;0,6898
26,550;0,6825
26,600;0,6872
26,650;0,6821
26,700;0,6579
26,750;0,6443
26,800;0,6303
26,850;0,6129
26,900;0,5954
26,950;0,5764
27,000;0,5561
27,050;0,5336
27,100;0,5101
27,150;0,4874
27,200;0,4647
27,250;0,4424
27,300;0,4209
27,350;0,4003
27,400;0,3810
27,450;0,3636
27,500;0,3481
27,550;0,3348
27,600;0,3239
27,650;0,3155
27,700;0,3102
27,750;0,3077
27,800;0,3082
27,850;0,3116
27,900;0,3177
27,950;0,3269
28,000;0,3386
28,050;0,3528
28,100;0,3691
28,150;0,3874
28,200;0,4075
28,250;0,4286
28,300;0,4509
28,350;0,4737
28,400;0,4969
28,450;0,5201
28,500;0,5447
28,550;0,5666
28,600;0,5871
28,650;0,6062
28,700;0,6236
28,750;0,6410
28,800;0,6565
28,850;0,6861
28,900;0,6906
28,950;0,6845
29,000;0,6855
29,050;0,6837
29,100;0,6928
29,150;0,6904
29,200;0,6602
29,250;0,6413
29,300;0,6252
29,350;0,6056
29,400;0,5862
29,450;0,5656
29,500;0,5436
29,550;0,5184
29,600;0,4947
29,650;0,4711
29,700;0,4476
29,750;0,4249
29,800;0,4031
29,850;0,3826
29,900;0,3640
29,950;0,3472
30,000;0,3327
30,050;0,3208
30,100;0,3116
30,150;0,3054
30,200;0,3022
30,250;0,3020
30,300;0,3049
30,350;0,3106
30,400;0,3197
30,450;0,3313
30,500;0,3454
30,550;0,3620
30,600;0,3807
30,650;0,4013
30,700;0,4229
30,750;0,4457
30,800;0,4693
30,850;0,4931
30,900;0,5173
30,950;0,5428
31,000;0,5654
31,050;0,5865
31,100;0,6065
31,150;0,6246
31,200;0,6429
31,250;0,6619
31,300;0,6928
31,350;0,6840
31,400;0,6854
31,450;0,6871
31,500;0,6879
31,550;0,6867
31,600;0,6904
31,650;0,6684
31,700;0,6453
31,750;0,6287
31,800;0,6092
31,850;0,5895
31,900;0,5683
31,950;0,5459
32,000;0,5203
32,050;0,4964
32,100;0,4724
32,150;0,4487
32,200;0,4257
