"Zeit (s) Messreihe #6";"Position (m) Messreihe #6"
0,000;0,2771
0,050;0,2750
0,100;0,2767
0,150;0,2769
0,200;0,2767
0,250;0,2769
0,300;0,2771
0,350;0,2778
0,400;0,2781
0,450;0,2795
0,500;0,2797
0,550;0,2798
0,600;0,2802
0,650;0,2804
0,700;0,2809
0,750;0,2823
0,800;0,2908
0,850;0,2842
0,900;0,2784
0,950;0,2844
1,000;0,3316
1,050;0,3491
1,100;0,3693
1,150;0,3916
1,200;0,4153
1,250;0,4402
1,300;0,4663
1,350;0,4927
1,400;0,5191
1,450;0,5467
1,500;0,5706
1,550;0,5935
1,600;0,6165
1,650;0,6374
1,700;0,6727
1,750;0,6825
1,800;0,6744
1,850;0,6798
1,900;0,6824
1,950;0,6815
2,000;0,6772
2,050;0,6710
2,100;0,6750
2,150;0,6418
2,200;0,6223
2,250;0,6029
2,300;0,5820
2,350;0,5593
2,400;0,5336
2,450;0,5090
2,500;0,4845
2,550;0,4604
2,600;0,4369
2,650;0,4145
2,700;0,3938
2,750;0,3750
2,800;0,3584
2,850;0,3446
2,900;0,3335
2,950;0,3255
3,000;0,3206
3,050;0,3190
3,100;0,3209
3,150;0,3256
3,200;0,3333
3,250;0,3441
3,300;0,3573
3,350;0,3729
3,400;0,3904
3,450;0,4092
3,500;0,4293
3,550;0,4504
3,600;0,4717
3,650;0,4930
3,700;0,5141
3,750;0,5362
3,800;0,5553
3,850;0,5728
3,900;0,5885
3,950;0,6021
4,000;0,6136
4,050;0,6252
4,100;0,6315
4,150;0,6347
4,200;0,6354
4,250;0,6338
4,300;0,6297
4,350;0,6204
4,400;0,6108
4,450;0,5997
4,500;0,5870
4,550;0,5726
4,600;0,5570
4,650;0,5384
4,700;0,5212
4,750;0,5039
4,800;0,4869
4,850;0,4702
4,900;0,4541
4,950;0,4395
5,000;0,4260
5,050;0,4141
5,100;0,4035
5,150;0,3952
5,200;0,3890
5,250;0,3846
5,300;0,3822
5,350;0,3818
5,400;0,3836
5,450;0,3874
5,500;0,3927
5,550;0,3995
5,600;0,4079
5,650;0,4175
5,700;0,4282
5,750;0,4395
5,800;0,4512
5,850;0,4632
5,900;0,4753
5,950;0,4871
6,000;0,4985
6,050;0,5093
6,100;0,5193
6,150;0,5302
6,200;0,5378
6,250;0,5444
6,300;0,5499
6,350;0,5538
6,400;0,5566
6,450;0,5578
6,500;0,5575
6,550;0,5565
6,600;0,5539
6,650;0,5507
6,700;0,5466
6,750;0,5410
6,800;0,5341
6,850;0,5281
6,900;0,5217
6,950;0,5153
7,000;0,5088
7,050;0,5024
7,100;0,4966
7,150;0,4910
7,200;0,4859
7,250;0,4814
7,300;0,4774
7,350;0,4739
7,400;0,4712
7,450;0,4693
7,500;0,4677
7,550;0,4666
7,600;0,4663
7,650;0,4663
7,700;0,4668
7,750;0,4675
7,800;0,4682
7,850;0,4694
7,900;0,4704
7,950;0,4714
8,000;0,4723
8,050;0,4730
8,100;0,4737
8,150;0,4740
8,200;0,4740
8,250;0,4737
8,300;0,4732
8,350;0,4727
8,400;0,4720
8,450;0,4710
8,500;0,4699
8,550;0,4689
8,600;0,4680
8,650;0,4673
8,700;0,4668
8,750;0,4666
8,800;0,4670
8,850;0,4680
8,900;0,4692
8,950;0,4710
9,000;0,4734
9,050;0,4767
9,100;0,4806
9,150;0,4849
9,200;0,4895
9,250;0,4950
9,300;0,5009
9,350;0,5070
9,400;0,5132
9,450;0,5196
9,500;0,5260
9,550;0,5321
9,600;0,5396
9,650;0,5448
9,700;0,5491
9,750;0,5527
9,800;0,5553
9,850;0,5568
9,900;0,5570
9,950;0,5560
10,000;0,5536
10,050;0,5502
10,100;0,5453
10,150;0,5389
10,200;0,5316
10,250;0,5215
10,300;0,5117
10,350;0,5012
10,400;0,4898
10,450;0,4783
10,500;0,4664
